2021-09-18 09:58:12.333 - INFO  [main] (SpringApplication.java:652) : The following profiles are active: local,native
2021-09-18 09:58:14.305 - INFO  [localhost-startStop-1] (DirectJDKLog.java:180) : Initializing Spring embedded WebApplicationContext
2021-09-18 09:58:14.306 - INFO  [localhost-startStop-1] (ServletWebServerApplicationContext.java:284) : Root WebApplicationContext: initialization completed in 1956 ms
2021-09-18 09:58:14.432 - WARN  [localhost-startStop-1] (URLConfigurationSource.java:121) : No URLs will be polled as dynamic configuration sources.
2021-09-18 09:58:14.433 - INFO  [localhost-startStop-1] (URLConfigurationSource.java:122) : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-18 09:58:14.445 - INFO  [localhost-startStop-1] (DynamicPropertyFactory.java:281) : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@492b557d
2021-09-18 09:58:14.534 - INFO  [localhost-startStop-1] (DruidDataSourceAutoConfigure.java:56) : Init DruidDataSource
2021-09-18 09:58:15.041 - INFO  [localhost-startStop-1] (DruidDataSource.java:930) : {dataSource-1} inited
2021-09-18 09:58:17.742 - INFO  [main] (LogHelper.java:31) : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-09-18 09:58:17.819 - INFO  [main] (Version.java:46) : HHH000412: Hibernate Core {5.3.11.Final}
2021-09-18 09:58:17.821 - INFO  [main] (Environment.java:213) : HHH000206: hibernate.properties not found
2021-09-18 09:58:17.975 - INFO  [main] (JavaReflectionManager.java:49) : HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-09-18 09:58:18.133 - INFO  [main] (Dialect.java:157) : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-09-18 09:58:18.272 - INFO  [main] (AbstractEntityManagerFactoryBean.java:415) : Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-09-18 09:58:19.093 - WARN  [main] (JpaBaseConfiguration.java:226) : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-09-18 09:58:19.213 - INFO  [main] (EndpointLinksResolver.java:58) : Exposing 20 endpoint(s) beneath base path '/actuator'
2021-09-18 09:58:19.283 - INFO  [main] (PropertySourcedRequestMappingHandlerMapping.java:69) : Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2021-09-18 09:58:19.296 - WARN  [main] (URLConfigurationSource.java:121) : No URLs will be polled as dynamic configuration sources.
2021-09-18 09:58:19.296 - INFO  [main] (URLConfigurationSource.java:122) : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-18 09:58:19.405 - INFO  [main] (ExecutorConfigurationSupport.java:171) : Initializing ExecutorService 'applicationTaskExecutor'
2021-09-18 09:58:21.466 - INFO  [main] (ExecutorConfigurationSupport.java:171) : Initializing ExecutorService 'catalogWatchTaskScheduler'
2021-09-18 09:58:21.535 - INFO  [main] (DocumentationPluginsBootstrapper.java:160) : Context refreshed
2021-09-18 09:58:21.557 - INFO  [main] (DocumentationPluginsBootstrapper.java:163) : Found 1 custom documentation plugin(s)
2021-09-18 09:58:21.595 - INFO  [main] (ApiListingReferenceScanner.java:41) : Scanning for api listing references
2021-09-18 09:58:21.620 - INFO  [main] (DirectJDKLog.java:180) : Starting ProtocolHandler ["http-nio-9410"]
2021-09-18 09:58:21.629 - INFO  [main] (DirectJDKLog.java:180) : Using a shared selector for servlet write/read
2021-09-18 09:58:21.647 - INFO  [main] (TomcatWebServer.java:202) : Tomcat started on port(s): 9410 (http) with context path ''
2021-09-18 09:58:21.658 - INFO  [main] (ConsulServiceRegistry.java:65) : Registering service with consul: NewService{id='common-service-provider-system-9410', name='common-service-provider-system', tags=[secure=false], address='windows10.microdone.cn', meta=null, port=9410, enableTagOverride=null, check=Check{script='null', interval='null', ttl='30s', http='null', method='null', header=null, tcp='null', timeout='null', deregisterCriticalServiceAfter='null', tlsSkipVerify=null, status='null'}, checks=null}
2021-09-18 09:58:23.027 - INFO  [main] (StartupInfoLogger.java:59) : Started HncatvCommonServiceApplication in 15.102 seconds (JVM running for 18.819)
2021-09-18 09:58:23.830 - INFO  [parallel-1] (EpollProvider.java:68) : Starting without optional epoll library
2021-09-18 09:58:23.833 - INFO  [parallel-1] (KqueueProvider.java:70) : Starting without optional kqueue library
2021-09-18 09:58:25.292 - INFO  [RMI TCP Connection(5)-192.168.2.111] (DirectJDKLog.java:180) : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-18 09:58:25.292 - INFO  [RMI TCP Connection(5)-192.168.2.111] (FrameworkServlet.java:524) : Initializing Servlet 'dispatcherServlet'
2021-09-18 09:58:25.306 - INFO  [RMI TCP Connection(5)-192.168.2.111] (FrameworkServlet.java:546) : Completed initialization in 13 ms
2021-09-18 09:59:36.128 - INFO  [http-nio-9410-exec-1] (LoginController.java:80) : 登录成功，存入redis的token = eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJwYXNzd29yZCI6ImFkbWluIiwiZXhwIjoxNjMyMTEwMzc2LCJ1c2VybmFtZSI6ImFkbWluIn0.dEt2Wc27VDLFUJ6kVkKIP3wXHG1JJQc0PFIudUmS_Mg
